"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","rt","stimulus","response","question_order","slider_start","image_path","practiceTrial","practiceTrialNum","correct","concept","repetition","map_id","hue","lightness","saturation","ishihara_plate","correct_response"
"","","","","","html-slider-response","262","357675","0.0-254.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_L_S_44.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","47","","0","images/Y_L_S_44.png","","","","serious","1","44","Y","L","S","",""
"","","","","","html-slider-response","263","359098","0.0-255.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_L_U_12.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-102","","0","images/R_L_U_12.png","","","","serious","2","12","R","L","U","",""
"","","","","","html-slider-response","264","359690","0.0-256.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_U_41.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-14","","0","images/B_D_U_41.png","","","","serious","2","41","B","D","U","",""
"","","","","","html-slider-response","265","360602","0.0-257.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_S_23.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-87","","0","images/G_L_S_23.png","","","","serious","2","23","G","L","S","",""
"","","","","","html-slider-response","266","361355","0.0-258.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_L_S_30.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","47","","0","images/B_L_S_30.png","","","","serious","1","30","B","L","S","",""
"","","","","","html-slider-response","267","362034","0.0-259.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_L_U_02.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-71","","0","images/Y_L_U_02.png","","","","serious","1","02","Y","L","U","",""
"","","","","","html-slider-response","268","363090","0.0-260.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_D_U_07.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-130","","0","images/Y_D_U_07.png","","","","serious","2","07","Y","D","U","",""
"","","","","","html-slider-response","269","364994","0.0-261.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_S_27.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-98","","0","images/G_D_S_27.png","","","","serious","1","27","G","D","S","",""
"","","","","","html-slider-response","270","365713","0.0-262.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_U_41.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","15","","0","images/B_D_U_41.png","","","","serious","1","41","B","D","U","",""
"","","","","","html-slider-response","271","366377","0.0-263.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_D_U_07.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-88","","0","images/Y_D_U_07.png","","","","serious","1","07","Y","D","U","",""
"","","","","","html-slider-response","272","367448","0.0-264.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_D_S_05.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","83","","0","images/Y_D_S_05.png","","","","serious","1","05","Y","D","S","",""
"","","","","","html-slider-response","273","368305","0.0-265.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_U_26.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","94","","0","images/G_L_U_26.png","","","","serious","2","26","G","L","U","",""
"","","","","","html-slider-response","274","368865","0.0-266.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_S_23.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","55","","0","images/G_L_S_23.png","","","","serious","1","23","G","L","S","",""
"","","","","","html-slider-response","275","369433","0.0-267.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_L_S_10.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","55","","0","images/R_L_S_10.png","","","","serious","2","10","R","L","S","",""
"","","","","","html-slider-response","276","369962","0.0-268.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_U_28.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","77","","0","images/G_D_U_28.png","","","","serious","1","28","G","D","U","",""
"","","","","","html-slider-response","277","370760","0.0-269.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_S_13.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-84","","0","images/R_D_S_13.png","","","","serious","2","13","R","D","S","",""
"","","","","","html-slider-response","278","371863","0.0-270.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_L_U_12.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-144","","0","images/R_L_U_12.png","","","","serious","1","12","R","L","U","",""
"","","","","","html-slider-response","279","373529","0.0-271.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_L_U_33.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-14","","0","images/B_L_U_33.png","","","","serious","2","33","B","L","U","",""
"","","","","","html-slider-response","280","374575","0.0-272.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_L_U_26.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-90","","0","images/G_L_U_26.png","","","","serious","1","26","G","L","U","",""
"","","","","","html-slider-response","281","376177","0.0-273.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_S_27.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","84","","0","images/G_D_S_27.png","","","","serious","2","27","G","D","S","",""
"","","","","","html-slider-response","282","377009","0.0-274.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_D_S_37.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","50","","0","images/B_D_S_37.png","","","","serious","2","37","B","D","S","",""
"","","","","","html-slider-response","283","377671","0.0-275.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_S_13.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-89","","0","images/R_D_S_13.png","","","","serious","1","13","R","D","S","",""
"","","","","","html-slider-response","284","378337","0.0-276.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_U_15.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","1","","0","images/R_D_U_15.png","","","","serious","2","15","R","D","U","",""
"","","","","","html-slider-response","285","378959","0.0-277.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_L_S_10.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-89","","0","images/R_L_S_10.png","","","","serious","1","10","R","L","S","",""
"","","","","","html-slider-response","286","379615","0.0-278.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_L_S_30.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-35","","0","images/B_L_S_30.png","","","","serious","2","30","B","L","S","",""
"","","","","","html-slider-response","287","380215","0.0-279.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_L_S_44.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-131","","0","images/Y_L_S_44.png","","","","serious","2","44","Y","L","S","",""
"","","","","","html-slider-response","288","381111","0.0-280.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/R_D_U_15.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-41","","0","images/R_D_U_15.png","","","","serious","1","15","R","D","U","",""
"","","","","","html-slider-response","289","381823","0.0-281.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/Y_D_S_05.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","53","","0","images/Y_D_S_05.png","","","","serious","2","05","Y","D","S","",""
"","","","","","html-slider-response","290","382464","0.0-282.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/G_D_U_28.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","3","","0","images/G_D_U_28.png","","","","serious","2","28","G","D","U","",""
"","","","","","html-slider-response","291","383022","0.0-283.0","pocbnf60vz","3","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >serious</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/B_L_U_33.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","66","","0","images/B_L_U_33.png","","","","serious","1","33","B","L","U","",""
"","","","","","html-button-response","292","384865","0.0-284.0","pocbnf60vz","3","1343","<p>Great Job! You're done rating all concepts!<br></br></p>","0","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","293","393799","0.0-285.0","pocbnf60vz","3","8931","<p>Good job! You have finished the task. Next, you will see an image on the screen.<br>If you see a number in the image, please carefully type that number in the box.</p><p>If you do not see a number in the image, please type 'None' in the box.<br>This part of the experiment will take about 2 minutes.</p><p>Please press the left or right arrow keys to begin.</p>","arrowright","","","","","","","","","","","","","",""
"","","","","","survey-html-form","294","398037","0.0-286.0","pocbnf60vz","3","3734","","{""number"":""12""}","","","","","","","","","","","","","0","12"
"","","","","","survey-html-form","295","405975","0.0-287.0","pocbnf60vz","3","7684","","{""number"":""29""}","","","","","","","","","","","","","3","29"
"","","","","","survey-html-form","296","410115","0.0-288.0","pocbnf60vz","3","3887","","{""number"":""7""}","","","","","","","","","","","","","5","7"
"","","","","","survey-html-form","297","413784","0.0-289.0","pocbnf60vz","3","3415","","{""number"":""74""}","","","","","","","","","","","","","4","74"
"","","","","","survey-html-form","298","416519","0.0-290.0","pocbnf60vz","3","2483","","{""number"":""5""}","","","","","","","","","","","","","2","5"
"","","","","","survey-html-form","299","419563","0.0-291.0","pocbnf60vz","3","2791","","{""number"":""45""}","","","","","","","","","","","","","6","45"
"","","","","","survey-html-form","300","422163","0.0-292.0","pocbnf60vz","3","2346","","{""number"":""35""}","","","","","","","","","","","","","9","35"
"","","","","","survey-html-form","301","425678","0.0-293.0","pocbnf60vz","3","3262","","{""number"":""8""}","","","","","","","","","","","","","1","8"
"","","","","","survey-html-form","302","431059","0.0-294.0","pocbnf60vz","3","5129","","{""number"":""18""}","","","","","","","","","","","","","8","16"
"","","","","","survey-html-form","303","435332","0.0-295.0","pocbnf60vz","3","4019","","{""number"":""2""}","","","","","","","","","","","","","7","2"
"","","","","","survey-html-form","304","438751","0.0-296.0","pocbnf60vz","3","3166","","{""number"":""96""}","","","","","","","","","","","","","10","96"
"","","","","","survey-multi-choice","305","445768","0.0-297.0","pocbnf60vz","3","6762","","{""colorDifficulty"":""No"",""colorBlind"":""No"",""device"":""Computer""}","[0,1,2]","","","","","","","","","","","","",""
